Artist;Title;Year;Orchestra;Conductor;Genre;Format;Label;Catalog Number;Reissue;Mode;DBX
Metheny, Pat;Watercolors;1977;;;Jazz;LP;ECM Records;ECM 1097;;S;
Moreira, Airto;I'm Fine. How Are You?;1977;;;Jazz;LP;Warner Bros. Records;BS 3084;;S;
Nash, Crosby &;Live;1977;;;Rock;LP;ABC Records;AA-1042;;S;
Nash, Crosby, Stills &;CSN;1977;;;Rock;LP;Atlantic;SD 19104;;S;
Parsons  Project, Alan ;I Robot;1977;;;Rock;LP;Arista;AL 7002;;S;
Rankin, Kenny;The Kenny Rankin Album;1977;;;Jazz;LP;Little David Records;LD 1013;;S;
Ritenour, Lee;Captain Fingers;1977;;;Jazz;CD;Epic;EK 34426;;S;
Steely Dan;Aja;1977;;;Rock;LP;ABC Records;AB-1006;;S;
Supertramp;Even In The Quietest Moments...;1977;;;Rock;LP;A&M Records;SP-4634;;S;
Tchaikovsky, Pyotr Ilyich;"Symphony No. 6 In B Minor, Op. 74 (""Pathetique"")";1977;Philharmonic Symphony Orchestra of New York;Rodzinski, Artur;Symphonic;LP;Columbia Special Products;P 14134;;S;
Tjader, Cal;At Grace Cathedral;1977;;;Jazz;LP;Fantasy;F-9521;;S;
Various;Montreux Summit, Volume 1;1977;;;Jazz;LP;Columbia;JG 35005;;S;
Weather Report;Heavy Weather;1977;;;Jazz;LP;Columbia;PC 34418;;S;
Williams, John;Star Wars;1977;;;Soundtrack;LP;20th Century Records;2T-541;;S;
Williams, John;Close Encounters Of The Third Kind (Original Motion Picture Soundtrack);1977;;;Soundtrack;LP;Arista;AL 9500;;S;
Ambrosia;Life Beyond L.A.;1978;;;Rock;LP;Warner Bros. Records;BSK 3135;;S;
Chicago;Hot Streets;1978;;;Rock;LP;Columbia;FC 35512;;S;
Coryell, Larry;European Impressions;1978;;;Jazz;LP;Arista Novus;AN 3005;;S;
Crusaders, The;Chain Reaction;1978;;;Jazz;LP;Mobile Fidelity Sound Lab;MFSL 1-010;Y;S;
Crusaders, The;Images;1978;;;Jazz;LP;ABC Blue Thumb;BA-6030;;S;
Flim & The BB's;Flim & The BB's;1978;;;Jazz;LP;Sound 80;S80-DLR-102;;S;
Fogelberg, Dan/Weisberg, Tim;Twin Sons Of Different Mothers;1978;;;Rock;LP;Full Moon;JE 35339;;S;
Franks, Michael;Burchfield Nines;1978;;;Jazz;LP;Warner Bros. Records;BSK 3167;;S;
Joel, Billy;52nd Street;1978;;;Jazz;LP;Columbia;FC 35609;;S;
Little River Band;Sleeper Catcher;1978;;;Rock;LP;Harvest;SW-11783;;S;
Lorber, Jeff Fustion, The;Soft Space;1978;;;Jazz;LP;Inner City Records;IC 1056;;S;
Manilow, Barry;Even Now;1978;;;Rock;LP;Arista;AB 4164;;S;
Newsom, Tommy;Live From Beautiful Downtown Burbank;1978;;;Jazz;LP;Direct-Disk Labs;DD 108;;S;
Parsons  Project, Alan ;Pyramid;1978;;;Rock;LP;Arista;AB 4180;;S;
Pepper, Art;Art Pepper Plays Shorty Rogers & Others;1978;;;Jazz;LP;Pacific Jazz;PJ-LA896-H;;S;
Rafferty, Gerry;City To City;1978;;;Rock;LP;United Artists Records;UA-LA840-G;;S;
Sample, Joe;Rainbow Seeker;1978;;;Jazz;LP;ABC Records;AA-1050;;S;
Scott, Tom;Intimate Strangers;1978;;;Jazz;LP;Columbia;JC 35557;;S;
Steely Dan;Greatest Hits;1978;;;Rock;LP;ABC Records;AK-1107/2;;S;
Toto;Toto;1978;;;Rock;LP;Columbia;JC 35317;;S;
Walsh, Joe;But Seriously, Folks...;1978;;;Rock;LP;Asylum Records;6E-141;;S;
Weisberg, Tim Band;Rotations;1978;;;Jazz;LP;United Artists Records;UA-LA857-H;;S;
Various;Mark Levinson Presents;1979;;;Jazz;LP;DBX;RTS-1;;S;Y
Alpert, Herb;Rise;1979;;;Jazz;LP;A&M Records;AMLH 64790;;S;
Benson, George;Beyond The Blue Horizon;1979;;;Jazz;LP;CTI Records;CTI 8007;;S;
Benson, George;Livin' Inside Your Love;1979;;;Jazz;LP;Warner Bros. Records;2BSK 3277;;S;
Berlioz, Hector;Musique Des Gardiens De La Paix;1979;Musique Des Gardiens De La Paix;;Symphonic;LP;Nonesuch;H-71368;;S;
Brown, Clifford and Roach, Max ;Live At The Bee Hive;1979;;;Jazz;LP;Columbia;C2 35965;;M;
Buffett, Jimmy;Volcano;1979;;;Rock;LP;MCA Records;MCA-5102;;S;
Chicago;Chicago 13;1979;;;Rock;LP;Columbia;FC 36105;;S;
Cross, Christopher;Christopher Cross;1979;;;Rock;LP;Warner Bros. Records;BSK 3383;;S;
Crusaders, The;Street Life;1979;;;Jazz;LP;MCA Records;MCA-3094;;S;
Deodato, Eumir;Knights Of Fantasy;1979;;;Jazz;LP;Warner Bros. Records;BSK 3321;;S;
Floyd, Pink;The Wall;1979;;;Rock;LP;Columbia;PC2 36183;;S;
Fogelberg, Dan;Phoenix;1979;;;Rock;LP;Full Moon;FE 35634;;S;
Franks, Michael;Tiger In The Rain;1979;;;Jazz;LP;Direct-Disk Labs;SD 16611;;S;
Gillespie, Dizzy;Havin' A Good Time In Paris Vol.1;1979;;;Jazz;LP;Inner City Records;IC 7010;;S;
Goldsmith, Jerry;Star Trek: The Motion Picture;1979;;;Soundtrack;LP;Columbia;JS 36334;;S;
"Hooper, ""Stix""";The World Within;1979;;;Jazz;LP;MCA Records;MCA-3180;;S;
James, Bob;Lucky Seven;1979;;;Jazz;LP;Tappan Zee Records;JC 36056;;S;
James, Bob/Klugh, Earl;One On One;1979;;;Jazz;LP;Tappan Zee Records;FC 36241;;S;
Krause, Bernie;Citadels Of Mystery;1979;;;Jazz;LP;Mobile Fidelity Sound Lab;MFSL 1-505(100J-8);;S;
Mannheim Steamroller;Fresh Aire III;1979;;;Jazz;LP;American Gramaphone;AG-365;;S;
Metheny, Pat;New Chautauqua;1979;;;Jazz;LP;ECM Records;ECM-1-1131;;S;
Metheny, Pat Group;American Garage;1979;;;Jazz;LP;ECM Records;ECM-1-1155;;S;
Oregon;Moon And Mind;1979;;;Jazz;LP;Vanguard;VSD 79419;;S;
Parsons  Project, Alan ;Tales Of Mystery And Imagination;1979;;;Rock;LP;20th Century Fox Records;T-539;Y;S;
Parsons  Project, Alan ;Eve;1979;;;Rock;LP;Arista;AL 9504;;S;
Ritenour, Lee;Feel The Night;1979;;;Jazz;LP;Elektra;6E-192;;S;
Ritenour, Lee;Lee Ritenour In Rio;1979;;;Jazz;LP;JVC;VIJ-6312;;S;
Sample, Joe;Carmel;1979;;;Jazz;LP;ABC Records;AA-1126;;S;
Scott, Tom;Street Beat;1979;;;Jazz;LP;Columbia;JC 36137;;S;
Supertramp;Breakfast In America;1979;;;Rock;LP;A&M Records;SP-3708;;S;
Tchaikovsky, Pyotr Ilyich;"1812 Ovewrture / Capriccio Italien / ""Cossack Dance"" From Mazeppa";1979;The Cincinati Symphony Orchestra;Kunzel, Erich;Symphonic;LP;Telarc Digital;DG-10041;Y;S;
Weisberg, Tim;Night-Rider!;1979;;;Jazz;LP;MCA Records;MCA-3084;;S;
Weisberg, Tim;The Tip Of The Weisberg;1979;;;Jazz;LP;Nautilus Recordings;NR7;;S;
World Saxophone Quartet;Steppin' With The World Saxophone Quartet;1979;;;Jazz;LP;Black Saint;BSR 0027;;S;
Canadian Brass, The;Unexplored Territory;1980;;;Jazz;LP;MMG;MMG 1119;;S;Y
Basie, Count Orchestra;On The Road;1980;;;Jazz;LP;Pablo Today;D2312112;;S;
Benson, George;Give Me The Night;1980;;;Jazz;LP;Warner Bros. Records;K 56823;;S;
Bolling, Claude;California Suite;1980;;;Jazz;LP;CBS Masterworks;FM 36691;Y;S;
Browne, Jackson;Hold Out;1980;;;Rock;LP;Asylum Records;0;;S;
Canadian Brass, The;The Canadian Brass;1980;The Canadian Brass;;Symphonic;LP;CBS;MK 45792;;S;
Canadian Brass, The;The Canadian Brass;1980;The Canadian Brass;;Symphonic;LP;Philips;434 276-2;;S;
Crusaders, The;Rhapsody And Blues;1980;;;Jazz;LP;MCA Records;MCA-5124;;S;
Grusin, Dave;Mountain Dance;1980;;;Jazz;LP;Arista GRP;GRP 5010;;S;
James, Bob;H;1980;;;Jazz;LP;Tappan Zee Records;JC 36422;;S;
Joel, Billy;Piano Man;1980;;;Rock;LP;Columbia;PC 32544;;S;
Joel, Billy;Glass Houses;1980;;;Rock;LP;Columbia;FC 36384;;S;
Klugh, Earl;Finger Paintings;1980;;;Jazz;LP;Mobile Fidelity Sound Lab;MFSL 1-025;Y;S;
Klugh, Earl;Dream Come True;1980;;;Jazz;LP;United Artists Records;LT-1026;;S;
McConnell, Rob & The Boss Brass;Present Perfect;1980;;;Jazz;LP;Pausa Records;PR 7067;;S;
Metheny, Pat;80/81;1980;;;Jazz;LP;ECM Records;ECM-2-1180;;S;
Parsons  Project, Alan ;The Turn Of A Friendly Card;1980;;;Rock;LP;Arista;AL 9518;;S;
Perlman, Itzhak;A Different Kind Of Blues (An Album Of Jazz Composed By André Previn);1980;;;Jazz;LP;Angel Records;DS-37780;;S;
Perlman, Itzhak;A Different Kind Of Blues (An Album Of Jazz Composed By André Previn);1980;;;Jazz;LP;Angel Records;DS-37780;;S;
Spyro Gyra;Morning Dance;1980;;;Jazz;LP;MCA Records;MCA-37148;Y;S;
Washington Jr, Grover;Winelight;1980;;;Jazz;LP;Elektra;6E-305;;S;
Washington Jr, Grover;Skylarkin';1980;;;Jazz;LP;Motown;M7-933R1;;S;
Watanabe, Sadao;How's Everything;1980;;;Jazz;LP;CBS;C2X 36818;;S;
Watanabe, Sadao;Bird Of Paradise;1980;;;Jazz;LP;Inner City Records;IC 6061;;S;
Weather Report;Night Passage;1980;;;Jazz;LP;ARC;JC 36793;;S;
Weisberg, Tim;Party Of One;1980;;;Jazz;LP;MCA Records;MCA-5125;;S;
Winston, George;Autumn;1980;;;Jazz;LP;Windham Hill Records;WH-1012;Y;S;
Crusaders, The;Ongaku Kai, Live In Japan;1981;;;Jazz;LP;Crusaders Records;CRP-16002;;S;Y
Menza, Don & His '80s Big Band;Burnin';1981;;;Jazz;LP;M & K Realtime Records;RT-301;;S;Y
Sample, Joe;Swing Street Cafe;1981;;;Jazz;LP;Crusaders Records;CRP-16004;;S;Y
Basie, Count;Count Basie Dave Lambert Jon Hendricks Annie Ross;1981;;;Jazz;LP;Europa Jazz;EJ-1015;;B;
Beethoven, Ludwig van;London Symphony Orchestra;1981;London Symphony Orchestra;Tjeknavorian, Loris;Symphonic;LP;Chalfont Records;SDG 314;;S;
Benson, George;The George Benson Collection;1981;;;Jazz;LP;Warner Bros. Records;2HW 3577;;S;
Carlton, Larry;Strikes Twice;1981;;;Jazz;LP;Warner Bros. Records;WB 56 723;Y;S;
Cossu, Scott;Wind Dance;1981;;;Jazz;LP;Windham Hill Records;C-1016;;S;
Crusaders, The;Standing Tall;1981;;;Jazz;LP;MCA Records;MCA-5254;;S;
Fogelberg, Dan;The Innocent Age;1981;;;Rock;LP;Full Moon;KE2 37393;;S;
Grant, Tom;You Hardly Know Me;1981;;;Jazz;LP;WMOT Records;FW-37443;;S;
Grassi, Alex De;Clockwork;1981;;;Jazz;LP;Windham Hill Records;C-1018;;S;
Grusin, Dave;Live In Japan;1981;;;Jazz;LP;Arista GRP;GRP 5506;;S;
Herman, Woody;Presents A Concord Jam Volume 1;1981;;;Jazz;LP;Concord Jazz;CJ-142;;S;
Jamal, Ahmad;Live At Bubba's;1981;;;Jazz;LP;Who's Who In Jazz;WWLP 21021;;S;
James, Bob;All Around The Town;1981;;;Jazz;LP;Columbia;C2X 36786;;S;
James, Bob;Sign Of The Times;1981;;;Jazz;LP;Tappan Zee Records;FC 37495;;S;
Joel, Billy;Songs In The Attic;1981;;;Rock;LP;Columbia;TC 37461;Y;S;
Klugh, Earl;Crazy For You;1981;;;Jazz;LP;Liberty;LT-51113;;S;
Mannheim Steamroller;Fresh Aire Interludes;1981;;;Jazz;LP;American Gramaphone;AG-373;;S;
Metheny, Pat;As Falls Wichita, So Falls Wichita Falls;1981;;;Jazz;LP;ECM Records;ECM-1-1190;;S;
Rich, Buddy  Big Band;Buddy Rich Big Band;1981;;;Jazz;LP;Europa Jazz;EJ-1009;Y;S;
Sample, Joe;Voices In The Rain;1981;;;Jazz;LP;MCA Records;MCA-5172;;S;
Scott, Tom;Apple Juice;1981;;;Jazz;LP;Columbia;FC 37419;;S;
Vangelis;Chariots Of Fire;1981;;;Soundtrack;LP;Polydor;PD-1-6335;;S;
Wagner, Richard;Die Walküre: Ride Of The Valkyries / Tristan Und Isolde: Prelude To Act I / Götterdämmerung: Siegfried’s Funeral Music / Siegfried: Forest Murmurs;1981;Los Angeles Philharmonic Orchestra;Leinsdorf, Erich;Symphonic;LP;Sheffield Lab;LAB 7;;S;
Watanabe, Sadao;Orange Express;1981;;;Jazz;LP;Columbia;FC 37433;;S;
America;View From The Ground;1982;;;Rock;LP;Capitol Records;ST-12209;;S;
Asia;Asia;1982;;;Rock;LP;Geffen Records;GHS 2008;;S;
Blakey, Art & The Jazz Messengers;Caravan;1982;;;Jazz;LP;Original Jazz Classics;OJC-038;Y;S;
Burrell, Kenny;Live At The Village Vanguard;1982;;;Jazz;LP;Happy Bird;B 90083;Y;S;
Burton, Gary Quartet;Picture This;1982;;;Jazz;LP;ECM Records;ECM 1226;Y;S;
Crusaders, The;Royal Jam;1982;;;Jazz;LP;MCA Records;MCA 2-8017;;S;
Frey, Glenn;No Fun Aloud;1982;;;Rock;LP;Asylum Records;E1 60129;;S;
G, Kenny;Kenny G;1982;;;Jazz;CD;Arista;ARCD 8036;;S;
Grusin, Dave;Discovered Again!;1982;;;Jazz;LP;Sheffield Lab;ST 500;Y;S;
Grusin, Dave;Out Of The Shadows;1982;;;Jazz;LP;Arista GRP;GRP 5510;;S;
Grusin, Dave;Dave Grusin And The NY-LA Dream Band;1982;;;Jazz;LP;GRP;GRP 91 001;;S;
Grusin, Dave;Live At Budokan;1982;;;Jazz;LP;JVC;VIJ-28022;;S;
Herman, Woody Big Band;Live At The Concord Jazz Festival;1982;;;Jazz;LP;Concord Jazz;CJ-191;;S;
Jackson, Joe;Night And Day;1982;;;Rock;LP;A&M Records;SP-4906;;S;
Joel, Billy;The Nylon Curtain;1982;;;Rock;LP;Columbia;TC 38200;;S;
Klugh, Earl;Earl Klugh;1982;;;Jazz;LP;Liberty;LN-10163;Y;S;
Klugh, Earl;Two Of A Kind;1982;;;Jazz;LP;Capitol Records;SMAS-12244;;S;
Lorber, Jeff;It's A Fact;1982;;;Jazz;LP;Arista;AL 9583;;S;
Marriner, Sir Neville;Overtures;1982;Academy of St Martin-in-the-Fields;Marriner, Neville;Symphonic;CD;Angel Records Digital;D 134267;;S;
Metheny, Pat Group;Offramp;1982;;;Jazz;LP;ECM Records;ECM-1-1216;;S;
Parsons  Project, Alan ;Eye In The Sky;1982;;;Rock;LP;Arista;AL 9599;;S;
Scott, Tom;Desire;1982;;;Jazz;LP;Elektra Musician;60162-1;;S;
Supertramp;...Famous Last Words...;1982;;;Rock;LP;A&M Records;SP-3732;;S;
Towner, Ralph;Five Years Later;1982;;;Jazz;LP;ECM Records;ECM-1-1207;;S;
Walder, Ira Stein & Russel;Elements;1982;;;Jazz;LP;Windham Hill Records;WHS C-1020;;S;
Winston, George;December;1982;;;Jazz;LP;Windham Hill Records;WH-1025;Y;S;
Asia;Alpha;1983;;;Rock;LP;Geffen Records;GHS 4008;;S;
Canadian Brass, The;Champions;1983;;;Jazz;Cass;CBS;PMT 37797;;S;
Canadian Brass, The;The Canadian Brass;1983;The Canadian Brass;;Symphonic;LP;MMG ;MMG-1123;;S;
Carlton, Larry;Friends;1983;;;Jazz;LP;Warner Bros. Records;23834-1;;S;
Grant, Tom;Tom Grant;1983;;;Jazz;LP;Pausa Records;PR 7145;;S;
Isham, Mark;Vapor Drawings;1983;;;Jazz;LP;Windham Hill Records;WH-1027;;S;
James, Bob;Foxie;1983;;;Jazz;LP;Tappan Zee Records;FC 38801;;S;
Jarreau, Al;Jarreau;1983;;;Jazz;CD;WEA;2 50070-2;;S;
Klugh, Earl;Low Ride;1983;;;Jazz;LP;Capitol Records;ST-12253;;S;
Lewis, Huey & The News;Huey Lewis And The News;1983;;;Rock;LP;Chrysalis;PV 41292;Y;S;
Lewis, Huey & The News;Picture This;1983;;;Rock;LP;Chrysalis;FV 41340;;S;
Lewis, Huey & The News;Sports;1983;;;Rock;LP;Chrysalis;FV 41412;;S;
Lewis, Ramsey;Les Fleurs;1983;;;Jazz;LP;Columbia;FC 38787;;S;
Mannheim Steamroller;Fresh Aire V;1983;;;Jazz;Cass;American Gramaphone Records;AGC-385;;S;
Metheny, Pat Group;Travels;1983;;;Jazz;LP;ECM Records;ECM 1252/53;Y;S;
Richie, Lionel;Can't Slow Down;1983;;;Jazz;LP;Motown;6059 ML;;S;
Ritenour, Lee;On The Line;1983;;;Jazz;LP;Elektra Musician;96-0310-1;;S;
Sample, Joe;The Three;1983;;;Jazz;CD;East Wind;35JD-1;Y;S;
Shadowfax;Shadowdance;1983;;;Jazz;LP;Windham Hill Records;WH-1029;;S;
Shadowfax;Shadowfax;1983;;;Jazz;LP;Windham Hill Records;WH-1022;;S;
Various;Flashdance (Original Soundtrack From The Motion Picture);1983;;;Soundtrack;LP;Casablanca;422-811 492-1 M-1;;S;
Vivaldi, Antonio;Four Seasons, The;1983;;;Symphonic;Cass;CBS;MYT 38478;Y;S;
Walsh, Joe;You Bought It - You Name It;1983;;;Rock;LP;Warner Bros. Records;23884-1;;S;
Watanabe, Sadao;Fill Up The Night;1983;;;Jazz;LP;Elektra Musician;9 60297-1;;S;
Weather Report;Procession;1983;;;Jazz;LP;Columbia;FC 38427;;S;
Yellowjackets;Mirage À Trois;1983;;;Jazz;LP;Warner Bros. Records;W1-23813;;S;
Arteaga, Luis;Collage;1984;;;Jazz;LP;Pausa Records;PR 7155;;S;
Beethoven, Ludwig van;Berliner Philharmoniker;1984;Berliner Philharmoniker;Von Karajan,  Herbert;Symphonic;CD;Deutsche Grammophon;413 932-2;;S;
Clarke, Stanley;Time Exposure;1984;;;Jazz;LP;Epic;FE 38688;;S;
Coryell, Larry;Comin' Home;1984;;;Jazz;LP;Muse Records;MR 5303;;S;
Cossu, Scott;Islands;1984;;;Jazz;LP;Windham Hill Records;WH-1033;;S;
Cossu, Scott;Islands;1984;;;Jazz;LP;Windham Hill Records;WH-1033;;S;
Crusaders, The;Ghetto Blaster;1984;;;Jazz;LP;MCA Records;MCA-5429;;S;
D'Rivera, Paquito;Why Not!;1984;;;Jazz;LP;Columbia;FC 39584;;S;
Desmond, Paul;Skylark;1984;;;Jazz;LP;CTI Records;CTI 9006;Y;S;
Fogelberg, Dan;Windows And Walls;1984;;;Rock;CD;Epic;EK 39004;;S;
Grant, Tom;Heart Of The City;1984;;;Jazz;LP;Pausa Records;PR 7162;;S;
Grassi, Alex De;Southern Exposure;1984;;;Jazz;LP;Windham Hill Records;WH-1030;;S;
Grusin, Dave;Night-Lines;1984;;;Jazz;LP;GRP;GRP-A-1006;;S;
Hedges, Michael;Aerial Boundaries;1984;;;Jazz;LP;Windham Hill Records;WH-1032;;S;
Henley, Don;Building The Perfect Beast;1984;;;Rock;LP;Geffen Records;GHS 24026;;S;
Jackson, Joe;Body And Soul;1984;;;Jazz;LP;A&M Records;SP-5000;;S;
James, Bob;12;1984;;;Jazz;LP;Tappan Zee Records;FC 39580;;S;
Klugh, Earl;Nightsongs;1984;;;Jazz;LP;Capitol Records;ST-12372;;S;
Metheny, Pat;Rejoicing;1984;;;Jazz;LP;ECM Records;ECM 1271;;S;
Metheny, Pat Group;First Circle;1984;;;Jazz;LP;ECM Records;ECM 1278;;S;
Mozart, Wolfgang Amadeus;Requiem;1984;Staatskapelle Dresden;Rundfunchor, Leipzig;Symphonic;CD;Philips;411 420-2;Y;S;
Oskay, Billy;Nightnoise;1984;;;Jazz;LP;Windham Hill Records;WH-1031;;S;
Parsons  Project, Alan ;Ammonia Avenue;1984;;;Rock;LP;Arista;AL8 8204;;S;
Police, The;Synchronicity;1984;;;Rock;CD;A&M Records;CD 3735;;S;
Ravel, Maurice;Bolero;1984;Orchestre National De France;Maazel, Loren;Symphonic;CD;CBS Masterworks;MK 37289;Y;S;
Ritenour, Lee;Banded Together;1984;;;Jazz;LP;Elektra;9 60358-1;;S;
Shorter, Wayne;Wayning Moments;1984;;;Jazz;LP;Affinity;AFF 126;Y;S;
Stoddard, Joe;Waiting In The Wings;1984;;;Rock;LP;Not On Label;none;;S;
Strauss, Richard;Also Sprach Zarathustra / Don Juan;1984;Wiener Philharmoniker;von Karajan, Herbert;Symphonic;LP;Deutsche Grammophon;410 959-1;;S;
Towner, Ralph;Works;1984;;;Jazz;LP;ECM Records;823 268-1;;S;
Various;An Evening With Windham Hill Live;1984;;;Jazz;CD;Windham Hill Records;WD-1026;;S;
Various;Windham Hill Records Sampler '84;1984;;;Jazz;CD;Windham Hill Records;WD-1035;;S;
Various;Windham Hill Records Sampler '84;1984;;;Jazz;LP;Windham Hill Records;WH-1035;;S;
Watanabe, Sadao;Rendezvous;1984;;;Jazz;LP;Elektra;60371-1;;S;
Benoit, David;This Side Up;1985;;;Jazz;LP;GRP;GRP 91 031;;S;
Benson, George;20/20;1985;;;Jazz;LP;Warner Bros. Records;1-25178;;S;
Burrell, Kenny;Togethering;1985;;;Jazz;LP;Blue Note;BT 85106;;S;
Coryell, Larry;Together;1985;;;Jazz;LP;Concord Jazz;CJ-289;;S;
Crusaders, The;At Their Best;1985;;;Jazz;LP;Motown;M-195 / MOM-195;;S;
Davis, Miles Quintet, The;Cookin' With The Miles Davis Quintet;1985;;;Jazz;CD;Original Jazz Classics;OJCCD-128-2;Y;S;
Flim & The BB's;Tricycle;1985;;;Jazz;CD;DMP;CD-443;Y;S;
Grant, Tom;Just The Right Moment;1985;;;Jazz;LP;Pausa Records;PR 7174;;S;
Grusin, Dave;One Of A Kind;1985;;;Jazz;LP;GRP;GRP-A 1011;Y;S;
Grusin, Dave;GRP Live In Session;1985;;;Jazz;LP;GRP;GRP-A-1023;;S;
Hiroshima;Another Place;1985;;;Jazz;LP;Epic;BFE 39938;;S;
Jordan, Stanley;Magic Touch;1985;;;Jazz;LP;Blue Note;BT 85101;;S;
Kitaro;Silk Road I;1985;;;Jazz;LP;Gramavision;18-7009-1;Y;S;
Klugh, Earl;Soda Fountain Shuffle;1985;;;Jazz;LP;Warner Bros. Records;25262-1;;S;
London Symphony Orchestra;Best Loved Christmas Carols, The;1985;London Symphony Orchestra;Burniside, Dennis;Symphonic;LP;Hallmark;625XPR9705C;;S;
Modern Jazz Quartet, The;Modern Jazz Quartet;1985;;;Jazz;LP;Jazz Masterworks;CJZLP 6;;S;
Mr. Mister;Welcome To The Real World;1985;;;Rock;LP;RCA Victor;NFL1-8045;;S;
Parsons  Project, Alan ;Vulture Culture;1985;;;Rock;LP;Arista;206 577;;S;
Roach, Max;Again Volume One;1985;;;Jazz;LP;Yes To Jazz;10041;;S;
Tears For Fears;Songs From The Big Chair;1985;;;Rock;LP;Mercury;824 300-1;;S;
Various;Lights Out;1985;;;Jazz;LP;Kink FM 102;102/1985;;S;
Various;Windham Hill Records Piano Sampler;1985;;;Jazz;LP;Windham Hill Records;WH-1040;;S;
Watanabe, Sadao;Flashes Of Brilliance;1985;;;Jazz;LP;Attic;LAT 1215;Y;S;
Watanabe, Sadao;Maisha;1985;;;Jazz;LP;Elektra;60431-1;;S;
Windham Hill Artists;A Winter's Solstice;1985;;;Jazz;LP;Windham Hill Records;WH-1045;;S;
Bach, Johann Sebastian;Los Angeles Chamber Orchestra;1986;Los Angeles Chamber Orchestra;;Symphonic;CD;EMI;CDCB-547201;;S;
Benson, George;While The City Sleeps...;1986;;;Jazz;LP;Warner Bros. Records;925 475-1;;S;
Carlton, Larry;Alone / But Never Alone;1986;;;Jazz;LP;MCA Records;MCA-5689;;S;
Cossu, Scott;Still Moments;1986;;;Jazz;LP;Lost Lake Arts;LL-0086;Y;S;
Crusaders, The;The Good And Bad Times;1986;;;Jazz;LP;MCA Records;MCA-5781;;S;
D'Rivera, Paquito;Explosion;1986;;;Jazz;LP;Columbia;FC 40156;;S;
Dvořák, Antonín;"Symphony No. 9 ""From The New World""";1986;Berlin Philharmonic Orchestra;Kubelik, Rafael;Symphonic;Cass;Deutsche Grammophon;415 915-4 10 G MF;Y;S;
Elliot, Richard;Trolltown;1986;;;Jazz;LP;Intima Records;3233-1;;S;
G, Kenny;Duotones;1986;;;Jazz;LP;Arista;AL-8427;;S;
Grant, Tom;Take Me To Your Dream;1986;;;Jazz;LP;Pausa Records;PR 7199;;S;
Hornsby, Bruce And The Range;The Way It Is;1986;;;Rock;LP;RCA Victor;AFL1-5904;Y;S;
Jamal, Ahmad;Live At The Montreal Jazz Festival 1985;1986;;;Jazz;CD;Atlantic;7 81699-2;;S;
Lewis, Huey & The News;Fore!;1986;;;Rock;LP;Chrysalis;OV 41534;;S;
Mays, Lyle;Lyle Mays;1986;;;Jazz;LP;Geffen Records;GHS 24097;;S;
Pachelbel, Johann;Pachelbel's Canon (Baroque Favorites);1986;English Chamber Orchestra;Leppard;Symphonic;Cass;CBS;MYT 38482;;S;
Rippingtons, The;Moonlighting;1986;;;Jazz;CD;GRP;GRD-9605;Y;S;
Shadowfax;Too Far To Whisper;1986;;;Jazz;LP;Windham Hill Records;WH-1051;;S;
Various;Windham Hill Records Sampler '86;1986;;;Jazz;CD;Windham Hill Records;WD-1048;;S;
Weather Report;This Is This;1986;;;Jazz;LP;Columbia;FC 40280;;S;
Zadora, Pia;I Am What I Am;1986;;;Jazz;LP;CBS Associated Records;BFZ 40533;;S;
Benson, George;Collaboration;1987;;;Jazz;LP;Warner Bros. Records;9 25580-1;;S;
Boccherini, Luigi;St Paul Chamber Orchestra;1987;St Paul Chamber Orchestra;;Symphonic;CD;CBS Masterworks;MK 39964;;S;
Carlton, Larry;Discovery;1987;;;Jazz;LP;MCA Records;MCA-42003;;S;
Carlton, Larry;Last Nite;1987;;;Jazz;LP;MCA Records;MCA-5866;;S;
Christian, Charlie;Genius Of The Electric Guitar, The;1987;;;Jazz;CD;Columbia;CK 40846;;S;
Cossu, Scott;She Describes Infinity;1987;;;Jazz;LP;Windham Hill Records;WH-1063;;S;
Eubanks, Kevin;The Heat Of Heat;1987;;;Jazz;LP;GRP;GR-1041;;S;
Eubanks, Kevin;Face To Face;1987;;;Jazz;LP;GRP;GRP-A-1029;;S;
Gadd Gang, The;The Gadd Gang;1987;;;Jazz;CD;Columbia;CK 40864;;S;
Grant, Tom;Night Charade;1987;;;Jazz;LP;Gaia Records;13-9002-1;;S;
Grusin, Dave;Cinemagic;1987;;;Jazz;CD;GRP;GRD-9547;;S;
Krupa, Gene Big Band;Drummer Man;1987;;;Jazz;CD;Verve Records;827 843-2;Y;M;
Laws, Ronnie;All Day Rhythm;1987;;;Jazz;LP;Columbia;FC 40902;;S;
Mangione, Chuck;Classics Volume 6;1987;;;Jazz;CD;A&M Records;CD 2502;;S;
Oregon;Ecotopia;1987;;;Jazz;CD;ECM Records;ECM 1354;Y;S;
Parsons  Project, Alan ;Gaudi;1987;;;Rock;CD;Arista;ARCD 8448;;S;
Rollins, Sonny;Saxophone Colossus;1987;;;Jazz;LP;Original Jazz Classics;OJC-291;Y;M;
Rossini, Gioacchino;Overtures · Ouvertüren: L’Italiana In Algeri · Il Barbiere Di Siviglia · Il Signor Bruschino · La Scala Di Seta · La Cenerentola · La Gazza Ladra · Semiramide · Guglielmo Tell;1987;Philharmonia Orchestra;Giulini, Carlo Maria;Symphonic;CD;EMI;CDM 7 69042 2;;S;
